DATE,screentime_horas
2024-03-01,104.56
2024-03-02,138.97
2024-03-03,153.08
2024-03-04,129.05
2024-03-05,105.65
2024-03-06,110.83
2024-03-07,132.22
2024-03-08,101.86
2024-03-09,122.93
2024-03-10,101.51
2024-03-11,114.77
2024-03-12,112.32
2024-03-13,128.84
2024-03-14,150.21
2024-03-15,121.47
2024-03-16,114.56
2024-03-17,134.87
2024-03-18,137.56
2024-03-19,124.61
2024-03-20,144.38
2024-03-21,173.32
2024-03-22,115.09
2024-03-23,128.09
2024-03-24,128.75
2024-03-25,125.36
2024-03-26,122.92
2024-03-27,131.46
2024-03-28,165.27
2024-03-29,139.63
2024-03-30,121.54
2024-03-31,124.61
