GENRE,screentime_horas
Serie-Telenovela,1044.41
Serie-Drama,780.23
Serie,284.72
Cine-Comedia,166.07
Serie-Comedia,164.86
Cine-Drama,141.04
Entretenimiento-Reality show,126.62
Cine-Accion-Aventuras,117.18
Serie-Infantil-Dibujos animados,99.83
Serie-Accion-Western,94.63
Serie-Thriller,67.3
Serie-Infantil,65.47
Cine-Accion,63.41
Serie-Thriller-Thriller/Policíaco,62.06
Cine-Infantil,58.51
Cine-Fantasía-Terror,56.05
Serie-Accion,39.36
Serie-Documental,36.48
Cine-Animacion,30.02
Serie-Otros-Biográficas,27.82
Entretenimiento-Concurso,26.39
Serie-Accion-Aventuras,25.87
Entretenimiento-Humor,25.65
Cine-Infantil-Dibujos animados,21.3
Serie-Thriller-Thriller/Misterio,20.75
Cine-Infantil-Infantil/Animacion,20.01
Cine-Infantil-Familiar,19.17
Serie-Thriller-Thriller/Drama,18.1
Cine-Thriller,15.31
Cine-Documental,15.3
Cine-Romántica,14.23
Cine-Thriller-Thriller/Accion,13.64
Cine-Thriller-Thriller/Misterio,12.4
Cine-Thriller-Thriller/Drama,12.19
Cine-Comedia-Comedia/Romántica,11.99
Cine-Accion-Bélico,11.98
Hobbies-Viajes,11.34
Cine-Fantasía,10.37
Serie-Infantil-Familiar,9.42
Serie-Thriller-Thriller/Accion,9.32
Cine-Musical,7.24
Cine,7.19
Serie-Infantil-Infantil/Animacion,7.09
Serie-Fantasía-Ciencia ficcion,6.57
Serie-Accion-Accion/Superhéroes,5.27
Cine-Documental-Biográfico,4.99
Documental-Naturaleza-Animales,4.82
Serie-Fantasía-Terror,4.76
Serie-Fantasía,4.7
Serie-Romántica,4.26
Entretenimiento-Talk show,4.01
Serie-Accion-Accion/Artes Marciales,3.87
Cine-Fantasía-Ciencia ficcion,3.83
Serie-Documental-Historico,3.77
Actualidad-Documental-Cultura,3.56
Serie-Comedia-Comedia/Romántica,3.36
Cine-Accion-Accion/Superhéroes,3.21
Infantil,3.03
Serie-Documental-Biográfico,2.97
Reality show,2.9
Serie-Thriller-Thriller/Medicina,2.46
Conocimiento-Investigacion,2.45
Serie-Otros-Crimen,2.31
Serie-Drama-Drama/Judicial,2.29
Cultura-Magazine-Celebridades,1.53
Serie-Animacion,1.36
Deporte,0.93
Cine-Accion-Western,0.85
Hobbies,0.82
Cultura-Moda,0.71
Infantil-Dibujos animados,0.39
Serie-Drama-Drama/Médico,0.37
Hobbies-Cocina,0.33
Documental,0.24
Infantil-6/14 años,0.19
Documental-Biografía,0.19
Entretenimiento,0.18
Hobbies-Disco,0.11
Entretenimiento-Variedades,0.09
Documental-Cultura-Tecnología,0.06
Entretenimiento-Variedades-Gala/Premios,0.05
Documental-Historia,0.04
Conocimiento,0.03
Música-Rock/Pop,0.02
Cine-Accion-Artes marciales,0.02
Música,0.02
Deporte-Fútbol,0.0
Infantil-Preescolar,0.0
Música-Decadas-2010s,0.0
