REGION,screentime_horas
Cdmx,1417.74
Monterrey,462.98
Tijuana,187.51
Ixtapaluca,126.04
Zapopan,118.73
Ciudad Juarez,104.95
Ecatepec,103.93
Chimalhuacan,100.02
Chihuahua,98.54
Cuernavaca,88.54
Melchor Ocampo,85.49
Saltillo,84.08
Cancun,69.68
Mexicali,67.74
Merida,62.34
Aguascalientes,55.17
San Luis Potosi,54.74
Queretaro,45.62
Coatzacoalcos,43.71
Tampico,41.78
Reynosa,39.64
Ensenada,39.33
Oaxaca,36.6
Irapuato,35.1
Matamoros,34.7
Pachuca,30.67
Nuevo Laredo,30.33
Tlaxcala,27.21
Villahermosa,26.79
Victoria,24.09
Altamira,22.42
Campeche,19.48
Puerto Vallarta,18.58
Chilpancingo,18.32
Cordoba,16.74
Orizaba,16.27
Zacatecas,15.02
Parral,13.75
Acapulco,13.75
Ciudad del Carmen,13.4
Poza Rica,12.46
Celaya,12.37
Tulancingo,11.13
Lagos de Moreno,7.09
Nogales,2.37
Manzanillo,1.37
San Juan del Rio,1.26
Chetumal,0.75
Tala,0.0
